Date	Domain	BytesIn	BytesOut	Pass/Block FlagSet
2023-11-13 16:43:16	dynamitist.net	0	0	BLOCK	QGKLKM
2023-11-13 16:43:18	obfuscator.net	4883	10597	PASS	AIKLHU
2023-11-13 16:43:19	philocalist.net	0	0	BLOCK	HISGJQ
2023-11-13 16:43:25	Diantha.org	11269	3124	PASS	MXXLCK
2023-11-13 16:43:27	anarcotin.net	17001	3089	PASS	IRQBMY
2023-11-13 16:43:33	Diantha.org	0	0	BLOCK	HOZTXJ
2023-11-13 16:43:35	unfuelled.org	0	0	BLOCK	NXZDYO
2023-11-13 16:43:41	twittle-twattle.com	0	0	BLOCK	UGJNCJ
2023-11-13 16:43:44	twittle-twattle.com	0	0	BLOCK	UPCKGY
2023-11-13 16:43:49	obfuscator.net	0	0	BLOCK	PRYWNU
2023-11-13 16:43:51	jocuma.net	18995	13094	PASS	TDTFOB
2023-11-13 16:43:53	anarcotin.net	8965	9843	PASS	WNTWUA
2023-11-13 16:43:56	unseeingly.com	0	0	BLOCK	UZLIXY
2023-11-13 16:44:00	obfuscator.net	0	0	BLOCK	FZPNNM
2023-11-13 16:44:05	unfuelled.org	10211	7688	PASS	KKSNOK
2023-11-13 16:44:12	philocalist.net	774	13292	PASS	KVQLSX
2023-11-13 16:44:17	keraunographic.org	0	0	BLOCK	IWAGUE
2023-11-13 16:44:23	idiomorphically.com	13950	11102	PASS	OLUSEW
2023-11-13 16:44:24	philocalist.net	2330	4293	PASS	RCCHTJ
2023-11-13 16:44:31	bubbliness.net	20430	13347	PASS	NIYVVV
2023-11-13 16:44:38	blew.com	0	0	BLOCK	QFSLTV
2023-11-13 16:44:45	Norty.org	0	0	BLOCK	TIBYTD
2023-11-13 16:44:52	obfuscator.net	0	0	BLOCK	GXXQKX
2023-11-13 16:44:55	unfuelled.org	0	0	BLOCK	NVOQDX
2023-11-13 16:45:02	enlivenments.net	0	0	BLOCK	BMXJMK
2023-11-13 16:45:07	Diantha.org	0	0	BLOCK	KKPUSG
2023-11-13 16:45:11	keraunographic.org	0	0	BLOCK	ROJZDE
2023-11-13 16:45:12	causeuses.com	21926	10760	PASS	NUTBDE
2023-11-13 16:45:13	dynamitist.net	0	0	BLOCK	RJABLZ
2023-11-13 16:45:14	Loring.com	11447	11958	PASS	XQEPOC
2023-11-13 16:45:20	bubbliness.net	19174	12047	PASS	XDZJHT
2023-11-13 16:45:22	blew.com	0	0	BLOCK	KQYGQK
2023-11-13 16:45:27	privado.net	22165	6874	PASS	EORVQF
2023-11-13 16:45:30	causeuses.com	8955	6389	PASS	BEUAAI
2023-11-13 16:45:33	enlivenments.net	6712	10269	PASS	XPGHSG
2023-11-13 16:45:36	privado.net	0	0	BLOCK	FMYYMQ
2023-11-13 16:45:43	unfuelled.org	18864	5437	PASS	FSFLIR
2023-11-13 16:45:46	blew.com	0	0	BLOCK	RUSYGO
2023-11-13 16:45:51	causeuses.com	0	0	BLOCK	JGVWMP
2023-11-13 16:45:58	blew.com	21915	7305	PASS	LLNGJN
2023-11-13 16:46:04	anarcotin.net	7709	8544	PASS	MIVJZY
2023-11-13 16:46:09	bubbliness.net	17618	7593	PASS	QWNNGH
2023-11-13 16:46:15	jocuma.net	0	0	BLOCK	TDSENT
2023-11-13 16:46:19	Admete.net	8645	9659	PASS	CUZCAG
2023-11-13 16:46:22	Diantha.org	17557	10432	PASS	KBPXOR
2023-11-13 16:46:23	privado.net	23101	7989	PASS	NMOHDH
2023-11-13 16:46:30	blew.com	2697	5655	PASS	OJWKAS
2023-11-13 16:46:35	anarcotin.net	18804	8276	PASS	SXOOIB
2023-11-13 16:46:40	Norty.org	5998	7092	PASS	NGIVPN
2023-11-13 16:46:43	twittle-twattle.com	0	0	BLOCK	DOBECH
2023-11-13 16:46:46	enlivenments.net	0	0	BLOCK	CHMJYF
2023-11-13 16:46:51	keraunographic.org	0	0	BLOCK	GAQVVU
2023-11-13 16:46:58	blew.com	0	0	BLOCK	PELLTU
2023-11-13 16:47:05	Norty.org	0	0	BLOCK	MIARSD
2023-11-13 16:47:10	obfuscator.net	0	0	BLOCK	FQWQJX
2023-11-13 16:47:13	dynamitist.net	19801	6552	PASS	OQDQWT
2023-11-13 16:47:14	bubbliness.net	10983	11923	PASS	FDJRZJ
2023-11-13 16:47:15	jocuma.net	18305	9139	PASS	HXHKOJ
2023-11-13 16:47:22	jocuma.net	3506	1522	PASS	RUYNTT
2023-11-13 16:47:23	blew.com	4253	229	PASS	UQIZAL
2023-11-13 16:47:30	causeuses.com	7992	3643	PASS	FRRFJQ
2023-11-13 16:47:32	Loring.com	0	0	BLOCK	PYLYEB
2023-11-13 16:47:35	anarcotin.net	12169	2726	PASS	NLRZHL
2023-11-13 16:47:37	cooperated.org	19491	9822	PASS	IYCLPK
2023-11-13 16:47:38	causeuses.com	0	0	BLOCK	XZSVZH
2023-11-13 16:47:44	Loring.com	0	0	BLOCK	XZUHVL
2023-11-13 16:47:47	obfuscator.net	19336	2944	PASS	WDIZZT
2023-11-13 16:47:53	jocuma.net	10114	9014	PASS	PEQZFA
2023-11-13 16:48:00	Norty.org	0	0	BLOCK	DOGLOM
2023-11-13 16:48:04	dynamitist.net	0	0	BLOCK	FGLWNC
2023-11-13 16:48:07	Admete.net	3169	6735	PASS	LBZZYB
2023-11-13 16:48:13	unseeingly.com	0	0	BLOCK	IWPXYA
2023-11-13 16:48:19	Norty.org	20926	6502	PASS	CWHCXE
2023-11-13 16:48:22	privado.net	926	10615	PASS	BMSZQZ
2023-11-13 16:48:27	cooperated.org	0	0	BLOCK	BAXGEQ
2023-11-13 16:48:28	philocalist.net	0	0	BLOCK	OUVDNO
2023-11-13 16:48:34	dynamitist.net	0	0	BLOCK	KSBLVS
2023-11-13 16:48:38	cooperated.org	6814	4004	PASS	JBYCRX
2023-11-13 16:48:45	Norty.org	6564	4435	PASS	QYUMDE
2023-11-13 16:48:50	Admete.net	5318	6591	PASS	CJCVJU
2023-11-13 16:48:56	obfuscator.net	22421	3915	PASS	CPCIFO
2023-11-13 16:49:00	bubbliness.net	0	0	BLOCK	VRPVDL
2023-11-13 16:49:06	unseeingly.com	0	0	BLOCK	GDSTJT
2023-11-13 16:49:13	philocalist.net	19276	5783	PASS	PPRDGK
2023-11-13 16:49:20	idiomorphically.com	5069	7022	PASS	QMZGDV
2023-11-13 16:49:24	unseeingly.com	0	0	BLOCK	IKRPGN
2023-11-13 16:49:25	causeuses.com	12747	9491	PASS	MWMYHU
2023-11-13 16:49:27	anarcotin.net	8914	9814	PASS	VNTWUA
2023-11-13 16:49:30	unseeingly.com	0	0	BLOCK	UZLIXY
2023-11-13 16:49:34	obfuscator.net	0	0	BLOCK	FZPNNM
